FEN,Type,class,sub_signature,cfg_dot
"org.apache.commons.codec.net.RFC1522Codec.decodeText(String)","Method","org.apache.commons.codec.net.RFC1522Codec","java.lang.String decodeText(java.lang.String)","digraph cfg_decodeText {
	""1"" [label=""$stack10 = virtualinvoke text.<java.lang.String: boolean endsWith(java.lang.String)>(\""?=\"")""];
	""2"" [label=""$stack11 = virtualinvoke text.<java.lang.String: int length()>()""];
	""3"" [label=""$stack12 = virtualinvoke charset.<java.lang.String: boolean isEmpty()>()""];
	""4"" [label=""$stack13 = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: java.lang.String getEncoding()>()""];
	""5"" [label=""$stack14 = virtualinvoke $stack13.<java.lang.String: boolean equalsIgnoreCase(java.lang.String)>(encoding)""];
	""6"" [label=""$stack15 = virtualinvoke text.<java.lang.String: java.lang.String substring(int,int)>(from, to)""];
	""7"" [label=""$stack16 = new java.lang.String""];
	""8"" [label=""$stack17 = new java.lang.StringBuilder""];
	""9"" [label=""$stack18 = virtualinvoke $stack17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\""This codec cannot decode \"")""];
	""10"" [label=""$stack19 = virtualinvoke $stack18.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(encoding)""];
	""11"" [label=""$stack20 = virtualinvoke $stack19.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\"" encoded content\"")""];
	""12"" [label=""$stack21 = virtualinvoke $stack20.<java.lang.StringBuilder: java.lang.String toString()>()""];
	""13"" [label=""$stack22 = new org.apache.commons.codec.DecoderException""];
	""14"" [label=""$stack23 = new org.apache.commons.codec.DecoderException""];
	""15"" [label=""$stack24 = new org.apache.commons.codec.DecoderException""];
	""16"" [label=""$stack25 = new org.apache.commons.codec.DecoderException""];
	""17"" [label=""$stack8 = virtualinvoke text.<java.lang.String: boolean startsWith(java.lang.String)>(\""=?\"")""];
	""18"" [label=""$stack9 = new org.apache.commons.codec.DecoderException""];
	""19"" [label=""charset = virtualinvoke text.<java.lang.String: java.lang.String substring(int,int)>(from, to)""];
	""20"" [label=""data = staticinvoke <org.apache.commons.codec.binary.StringUtils: byte[] getBytesUsAscii(java.lang.String)>($stack15)""];
	""21"" [label=""data = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: byte[] doDecoding(byte[])>(data)""];
	""22"" [label=""encoding = virtualinvoke text.<java.lang.String: java.lang.String substring(int,int)>(from, to)""];
	""23"" [label=""from = 2""];
	""24"" [label=""from = to + 1""];
	""25"" [label=""from = to + 1""];
	""26"" [label=""if $stack10 != 0""];
	""27"" [label=""if $stack12 == 0""];
	""28"" [label=""if $stack14 != 0""];
	""29"" [label=""if $stack8 == 0""];
	""30"" [label=""if text != null""];
	""31"" [label=""if to != terminator""];
	""32"" [label=""if to != terminator""];
	""33"" [label=""return $stack16""];
	""34"" [label=""return null""];
	""35"" [label=""specialinvoke $stack16.<java.lang.String: void <init>(byte[],java.lang.String)>(data, charset)""];
	""36"" [label=""specialinvoke $stack17.<java.lang.StringBuilder: void <init>()>()""];
	""37"" [label=""specialinvoke $stack22.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>($stack21)""];
	""38"" [label=""specialinvoke $stack23.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: encoding token not found\"")""];
	""39"" [label=""specialinvoke $stack24.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: charset not specified\"")""];
	""40"" [label=""specialinvoke $stack25.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: charset token not found\"")""];
	""41"" [label=""specialinvoke $stack9.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: malformed encoded content\"")""];
	""42"" [label=""terminator = $stack11 - 2""];
	""43"" [label=""text := @parameter0: java.lang.String""];
	""44"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];
	""45"" [label=""throw $stack22""];
	""46"" [label=""throw $stack23""];
	""47"" [label=""throw $stack24""];
	""48"" [label=""throw $stack25""];
	""49"" [label=""throw $stack9""];
	""50"" [label=""to = virtualinvoke text.<java.lang.String: int indexOf(int,int)>(63, from)""];
	""51"" [label=""to = virtualinvoke text.<java.lang.String: int indexOf(int,int)>(63, from)""];
	""52"" [label=""to = virtualinvoke text.<java.lang.String: int indexOf(int,int)>(63, from)""];
	""1"" -> ""26""[label=""cfg_next""];
	""10"" -> ""11""[label=""cfg_next""];
	""11"" -> ""12""[label=""cfg_next""];
	""12"" -> ""37""[label=""cfg_next""];
	""13"" -> ""8""[label=""cfg_next""];
	""14"" -> ""38""[label=""cfg_next""];
	""15"" -> ""39""[label=""cfg_next""];
	""16"" -> ""40""[label=""cfg_next""];
	""17"" -> ""29""[label=""cfg_next""];
	""18"" -> ""41""[label=""cfg_next""];
	""19"" -> ""3""[label=""cfg_next""];
	""2"" -> ""42""[label=""cfg_next""];
	""20"" -> ""21""[label=""cfg_next""];
	""21"" -> ""7""[label=""cfg_next""];
	""22"" -> ""4""[label=""cfg_next""];
	""23"" -> ""50""[label=""cfg_next""];
	""24"" -> ""51""[label=""cfg_next""];
	""25"" -> ""52""[label=""cfg_next""];
	""26"" -> ""18""[label=""cfg_false""];
	""26"" -> ""2""[label=""cfg_true""];
	""27"" -> ""15""[label=""cfg_false""];
	""27"" -> ""24""[label=""cfg_true""];
	""28"" -> ""13""[label=""cfg_false""];
	""28"" -> ""25""[label=""cfg_true""];
	""29"" -> ""1""[label=""cfg_false""];
	""29"" -> ""18""[label=""cfg_true""];
	""3"" -> ""27""[label=""cfg_next""];
	""30"" -> ""17""[label=""cfg_true""];
	""30"" -> ""34""[label=""cfg_false""];
	""31"" -> ""16""[label=""cfg_false""];
	""31"" -> ""19""[label=""cfg_true""];
	""32"" -> ""14""[label=""cfg_false""];
	""32"" -> ""22""[label=""cfg_true""];
	""35"" -> ""33""[label=""cfg_next""];
	""36"" -> ""9""[label=""cfg_next""];
	""37"" -> ""45""[label=""cfg_next""];
	""38"" -> ""46""[label=""cfg_next""];
	""39"" -> ""47""[label=""cfg_next""];
	""4"" -> ""5""[label=""cfg_next""];
	""40"" -> ""48""[label=""cfg_next""];
	""41"" -> ""49""[label=""cfg_next""];
	""42"" -> ""23""[label=""cfg_next""];
	""43"" -> ""30""[label=""cfg_next""];
	""44"" -> ""43""[label=""cfg_next""];
	""5"" -> ""28""[label=""cfg_next""];
	""50"" -> ""31""[label=""cfg_next""];
	""51"" -> ""32""[label=""cfg_next""];
	""52"" -> ""6""[label=""cfg_next""];
	""6"" -> ""20""[label=""cfg_next""];
	""7"" -> ""35""[label=""cfg_next""];
	""8"" -> ""36""[label=""cfg_next""];
	""9"" -> ""10""[label=""cfg_next""];
}
"
"Belong to org.apache.commons.codec.net.RFC1522Codec.decodeText(String)","Parameter_1","org.apache.commons.codec.net.RFC1522Codec","java.lang.String","Parameter does not obtain cfg"
"org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[])","Method","org.apache.commons.codec.net.RFC1522Codec","byte[] doEncoding(byte[])","digraph cfg_doEncoding {
}
"
"Belong to org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[])","Parameter_1","org.apache.commons.codec.net.RFC1522Codec","byte[]","Parameter does not obtain cfg"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","Method","org.apache.commons.codec.net.RFC1522Codec","java.lang.String encodeText(java.lang.String,java.lang.String)","digraph cfg_encodeText {
	""1"" [label=""$stack3 = staticinvoke <java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>(charsetName)""];
	""2"" [label=""$stack4 = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: java.lang.String encodeText(java.lang.String,java.nio.charset.Charset)>(text, $stack3)""];
	""3"" [label=""charsetName := @parameter1: java.lang.String""];
	""4"" [label=""if text != null""];
	""5"" [label=""return $stack4""];
	""6"" [label=""return null""];
	""7"" [label=""text := @parameter0: java.lang.String""];
	""8"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];
	""1"" -> ""2""[label=""cfg_next""];
	""2"" -> ""5""[label=""cfg_next""];
	""3"" -> ""4""[label=""cfg_next""];
	""4"" -> ""1""[label=""cfg_true""];
	""4"" -> ""6""[label=""cfg_false""];
	""7"" -> ""3""[label=""cfg_next""];
	""8"" -> ""7""[label=""cfg_next""];
}
"
"Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","Parameter_1","org.apache.commons.codec.net.RFC1522Codec","java.lang.String","Parameter does not obtain cfg"
"Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","Parameter_2","org.apache.commons.codec.net.RFC1522Codec","java.lang.String","Parameter does not obtain cfg"
"org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[])","Method","org.apache.commons.codec.net.RFC1522Codec","byte[] doDecoding(byte[])","digraph cfg_doDecoding {
}
"
"Belong to org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[])","Parameter_1","org.apache.commons.codec.net.RFC1522Codec","byte[]","Parameter does not obtain cfg"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","Method","org.apache.commons.codec.net.RFC1522Codec","java.lang.String encodeText(java.lang.String,java.nio.charset.Charset)","digraph cfg_encodeText {
	""1"" [label=""$stack4 = new java.lang.StringBuilder""];
	""2"" [label=""$stack5 = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: java.lang.String getEncoding()>()""];
	""3"" [label=""$stack6 = virtualinvoke text.<java.lang.String: byte[] getBytes(java.nio.charset.Charset)>(charset)""];
	""4"" [label=""$stack7 = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: byte[] doEncoding(byte[])>($stack6)""];
	""5"" [label=""$stack8 = staticinvoke <org.apache.commons.codec.binary.StringUtils: java.lang.String newStringUsAscii(byte[])>($stack7)""];
	""6"" [label=""$stack9 = virtualinvoke buffer.<java.lang.StringBuilder: java.lang.String toString()>()""];
	""7"" [label=""buffer = $stack4""];
	""8"" [label=""charset := @parameter1: java.nio.charset.Charset""];
	""9"" [label=""if text != null""];
	""10"" [label=""return $stack9""];
	""11"" [label=""return null""];
	""12"" [label=""specialinvoke $stack4.<java.lang.StringBuilder: void <init>()>()""];
	""13"" [label=""text := @parameter0: java.lang.String""];
	""14"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];
	""15"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(63)""];
	""16"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(63)""];
	""17"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(charset)""];
	""18"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\""=?\"")""];
	""19"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\""?=\"")""];
	""20"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack5)""];
	""21"" [label=""virtualinvoke buffer.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack8)""];
	""1"" -> ""12""[label=""cfg_next""];
	""12"" -> ""7""[label=""cfg_next""];
	""13"" -> ""8""[label=""cfg_next""];
	""14"" -> ""13""[label=""cfg_next""];
	""15"" -> ""2""[label=""cfg_next""];
	""16"" -> ""3""[label=""cfg_next""];
	""17"" -> ""15""[label=""cfg_next""];
	""18"" -> ""17""[label=""cfg_next""];
	""19"" -> ""6""[label=""cfg_next""];
	""2"" -> ""20""[label=""cfg_next""];
	""20"" -> ""16""[label=""cfg_next""];
	""21"" -> ""19""[label=""cfg_next""];
	""3"" -> ""4""[label=""cfg_next""];
	""4"" -> ""5""[label=""cfg_next""];
	""5"" -> ""21""[label=""cfg_next""];
	""6"" -> ""10""[label=""cfg_next""];
	""7"" -> ""18""[label=""cfg_next""];
	""8"" -> ""9""[label=""cfg_next""];
	""9"" -> ""1""[label=""cfg_true""];
	""9"" -> ""11""[label=""cfg_false""];
}
"
"Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","Parameter_1","org.apache.commons.codec.net.RFC1522Codec","java.lang.String","Parameter does not obtain cfg"
"Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","Parameter_2","org.apache.commons.codec.net.RFC1522Codec","java.nio.charset.Charset","Parameter does not obtain cfg"
"org.apache.commons.codec.net.RFC1522Codec.getDefaultCharset()","Method","org.apache.commons.codec.net.RFC1522Codec","java.lang.String getDefaultCharset()","digraph cfg_getDefaultCharset {
	""1"" [label=""$stack1 = this.<org.apache.commons.codec.net.RFC1522Codec: java.nio.charset.Charset charset>""];
	""2"" [label=""$stack2 = virtualinvoke $stack1.<java.nio.charset.Charset: java.lang.String name()>()""];
	""3"" [label=""return $stack2""];
	""4"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];
	""1"" -> ""2""[label=""cfg_next""];
	""2"" -> ""3""[label=""cfg_next""];
	""4"" -> ""1""[label=""cfg_next""];
}
"
"org.apache.commons.codec.net.RFC1522Codec.getCharset()","Method","org.apache.commons.codec.net.RFC1522Codec","java.nio.charset.Charset getCharset()","digraph cfg_getCharset {
	""1"" [label=""$stack1 = this.<org.apache.commons.codec.net.RFC1522Codec: java.nio.charset.Charset charset>""];
	""2"" [label=""return $stack1""];
	""3"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];
	""1"" -> ""2""[label=""cfg_next""];
	""3"" -> ""1""[label=""cfg_next""];
}
"
"org.apache.commons.codec.net.RFC1522Codec.getEncoding()","Method","org.apache.commons.codec.net.RFC1522Codec","java.lang.String getEncoding()","digraph cfg_getEncoding {
}
"
"org.apache.commons.codec.net.RFC1522Codec.<init>(Charset)","Method","org.apache.commons.codec.net.RFC1522Codec","void <init>(java.nio.charset.Charset)","digraph cfg_<init> {
	""1"" [label=""$stack2 = staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(charset, \""charset\"")""];
	""2"" [label=""$stack3 = (java.nio.charset.Charset) $stack2""];
	""3"" [label=""charset := @parameter0: java.nio.charset.Charset""];
	""4"" [label=""return""];
	""5"" [label=""specialinvoke this.<java.lang.Object: void <init>()>()""];
	""6"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];
	""7"" [label=""this.<org.apache.commons.codec.net.RFC1522Codec: java.nio.charset.Charset charset> = $stack3""];
	""1"" -> ""2""[label=""cfg_next""];
	""2"" -> ""7""[label=""cfg_next""];
	""3"" -> ""5""[label=""cfg_next""];
	""5"" -> ""1""[label=""cfg_next""];
	""6"" -> ""3""[label=""cfg_next""];
	""7"" -> ""4""[label=""cfg_next""];
}
"
"Belong to org.apache.commons.codec.net.RFC1522Codec.<init>(Charset)","Parameter_1","org.apache.commons.codec.net.RFC1522Codec","java.nio.charset.Charset","Parameter does not obtain cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.PRINTABLE_CHARS","field","org.apache.commons.codec.net.QuotedPrintableCodec","java.util.BitSet PRINTABLE_CHARS","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.SPACE","field","org.apache.commons.codec.net.QuotedPrintableCodec","byte SPACE","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.ESCAPE_CHAR","field","org.apache.commons.codec.net.QuotedPrintableCodec","byte ESCAPE_CHAR","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.CR","field","org.apache.commons.codec.net.QuotedPrintableCodec","byte CR","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.LF","field","org.apache.commons.codec.net.QuotedPrintableCodec","byte LF","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.TAB","field","org.apache.commons.codec.net.QuotedPrintableCodec","byte TAB","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.charset","field","org.apache.commons.codec.net.QuotedPrintableCodec","java.nio.charset.Charset charset","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.SAFE_LENGTH","field","org.apache.commons.codec.net.QuotedPrintableCodec","int SAFE_LENGTH","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.MIN_BYTES","field","org.apache.commons.codec.net.QuotedPrintableCodec","int MIN_BYTES","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.strict","field","org.apache.commons.codec.net.QuotedPrintableCodec","boolean strict","field with no cfg"
"org.apache.commons.codec.net.QuotedPrintableCodec.<clinit>()","Method","org.apache.commons.codec.net.QuotedPrintableCodec","void <clinit>()","digraph cfg_<clinit> {
	""1"" [label=""$stack1 = new java.util.BitSet""];
	""2"" [label=""$stack2 = <org.apache.commons.codec.net.QuotedPrintableCodec: java.util.BitSet PRINTABLE_CHARS>""];
	""3"" [label=""$stack3 = <org.apache.commons.codec.net.QuotedPrintableCodec: java.util.BitSet PRINTABLE_CHARS>""];
	""4"" [label=""$stack4 = <org.apache.commons.codec.net.QuotedPrintableCodec: java.util.BitSet PRINTABLE_CHARS>""];
	""5"" [label=""$stack5 = <org.apache.commons.codec.net.QuotedPrintableCodec: java.util.BitSet PRINTABLE_CHARS>""];
	""6"" [label=""<org.apache.commons.codec.net.QuotedPrintableCodec: java.util.BitSet PRINTABLE_CHARS> = $stack1""];
	""7"" [label=""goto""];
	""8"" [label=""goto""];
	""9"" [label=""i = 33""];
	""10"" [label=""i = 62""];
	""11"" [label=""i = i + 1""];
	""12"" [label=""i = i + 1""];
	""13"" [label=""if i > 126""];
	""14"" [label=""if i > 60""];
	""15"" [label=""return""];
	""16"" [label=""specialinvoke $stack1.<java.util.BitSet: void <init>(int)>(256)""];
	""17"" [label=""virtualinvoke $stack2.<java.util.BitSet: void set(int)>(9)""];
	""18"" [label=""virtualinvoke $stack3.<java.util.BitSet: void set(int)>(32)""];
	""19"" [label=""virtualinvoke $stack4.<java.util.BitSet: void set(int)>(i)""];
	""20"" [label=""virtualinvoke $stack5.<java.util.BitSet: void set(int)>(i)""];
	""1"" -> ""16""[label=""cfg_next""];
	""10"" -> ""13""[label=""cfg_next""];
	""11"" -> ""7""[label=""cfg_next""];
	""12"" -> ""8""[label=""cfg_next""];
	""13"" -> ""2""[label=""cfg_true""];
	""13"" -> ""4""[label=""cfg_false""];
	""14"" -> ""10""[label=""cfg_true""];
	""14"" -> ""5""[label=""cfg_false""];
	""16"" -> ""6""[label=""cfg_next""];
	""17"" -> ""3""[label=""cfg_next""];
	""18"" -> ""15""[label=""cfg_next""];
	""19"" -> ""12""[label=""cfg_next""];
	""2"" -> ""17""[label=""cfg_next""];
	""20"" -> ""11""[label=""cfg_next""];
	""3"" -> ""18""[label=""cfg_next""];
	""4"" -> ""19""[label=""cfg_next""];
	""5"" -> ""20""[label=""cfg_next""];
	""6"" -> ""9""[label=""cfg_next""];
	""7"" -> ""14""[label=""cfg_goto""];
	""8"" -> ""13""[label=""cfg_goto""];
	""9"" -> ""14""[label=""cfg_next""];
}
"
"org.apache.commons.codec.net.QuotedPrintableCodec.<init>()","Method","org.apache.commons.codec.net.QuotedPrintableCodec","void <init>()","digraph cfg_<init> {
	""1"" [label=""$stack1 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset UTF_8>""];
	""2"" [label=""return""];
	""3"" [label=""specialinvoke this.<org.apache.commons.codec.net.QuotedPrintableCodec: void <init>(java.nio.charset.Charset,boolean)>($stack1, 0)""];
	""4"" [label=""this := @this: org.apache.commons.codec.net.QuotedPrintableCodec""];
	""1"" -> ""3""[label=""cfg_next""];
	""3"" -> ""2""[label=""cfg_next""];
	""4"" -> ""1""[label=""cfg_next""];
}
"
