"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"org.apache.commons.codec.net.RFC1522Codec.decodeText(String)","Method","* Applies an RFC 1522 compliant decoding scheme to the given string of text.
     * <p>
     * This method processes the ""encoded-word"" header common to all the RFC 1522 codecs and then invokes
     * {@link #doDecoding(byte[])}  method of a concrete class to perform the specific decoding.
     * </p>
     *
     * @param text
     *            a string to decode
     * @return A new decoded String or {@code null} if the input is {@code null}.
     * @throws DecoderException
     *             thrown if there is an error condition during the decoding process.
     * @throws UnsupportedEncodingException
     *             thrown if charset specified in the ""encoded-word"" header is not supported","protected String decodeText(final String text) throws DecoderException, UnsupportedEncodingException {
    if (text == null) {
        return null;
    }
    if (!text.startsWith(PREFIX) || !text.endsWith(POSTFIX)) {
        throw new DecoderException(""RFC 1522 violation: malformed encoded content"");
    }
    final int terminator = text.length() - 2;
    int from = 2;
    int to = text.indexOf(SEP, from);
    if (to == terminator) {
        throw new DecoderException(""RFC 1522 violation: charset token not found"");
    }
    final String charset = text.substring(from, to);
    if (charset.isEmpty()) {
        throw new DecoderException(""RFC 1522 violation: charset not specified"");
    }
    from = to + 1;
    to = text.indexOf(SEP, from);
    if (to == terminator) {
        throw new DecoderException(""RFC 1522 violation: encoding token not found"");
    }
    final String encoding = text.substring(from, to);
    if (!getEncoding().equalsIgnoreCase(encoding)) {
        throw new DecoderException(""This codec cannot decode "" + encoding + "" encoded content"");
    }
    from = to + 1;
    to = text.indexOf(SEP, from);
    byte[] data = StringUtils.getBytesUsAscii(text.substring(from, to));
    data = doDecoding(data);
    return new String(data, charset);
}","String","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.decodeText(String).text","Parameter_1","Belong to org.apache.commons.codec.net.RFC1522Codec.decodeText(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[])","Abstract Method","* Decodes an array of bytes using the defined encoding scheme.
     *
     * @param bytes
     *            Data to be decoded
     * @return a byte array that contains decoded data
     * @throws DecoderException
     *             A decoder exception is thrown if a Decoder encounters a failure condition during the decode process.","protected abstract byte[] doDecoding(byte[] bytes) throws DecoderException;","byte[]","protected , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[]).bytes","Parameter_1","Belong to org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[])","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[])","Abstract Method","* Encodes an array of bytes using the defined encoding scheme.
     *
     * @param bytes
     *            Data to be encoded
     * @return A byte array containing the encoded data
     * @throws EncoderException
     *             thrown if the Encoder encounters a failure condition during the encoding process.","protected abstract byte[] doEncoding(byte[] bytes) throws EncoderException;","byte[]","protected , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[]).bytes","Parameter_1","Belong to org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[])","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","Method","* Applies an RFC 1522 compliant encoding scheme to the given string of text with the given charset.
     * <p>
     * This method constructs the ""encoded-word"" header common to all the RFC 1522 codecs and then invokes
     * {@link #doEncoding(byte[])}  method of a concrete class to perform the specific encoding.
     * </p>
     *
     * @param text
     *            a string to encode
     * @param charset
     *            a charset to be used
     * @return RFC 1522 compliant ""encoded-word""
     * @throws EncoderException
     *             thrown if there is an error condition during the Encoding process.
     * @see Charset","protected String encodeText(final String text, final Charset charset) throws EncoderException {
    if (text == null) {
        return null;
    }
    final StringBuilder buffer = new StringBuilder();
    buffer.append(PREFIX);
    buffer.append(charset);
    buffer.append(SEP);
    buffer.append(getEncoding());
    buffer.append(SEP);
    buffer.append(StringUtils.newStringUsAscii(doEncoding(text.getBytes(charset))));
    buffer.append(POSTFIX);
    return buffer.toString();
}","String","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).text","Parameter_1","Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).charset","Parameter_2","Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","Method","* Applies an RFC 1522 compliant encoding scheme to the given string of text with the given charset.
     * <p>
     * This method constructs the ""encoded-word"" header common to all the RFC 1522 codecs and then invokes
     * {@link #doEncoding(byte[])}  method of a concrete class to perform the specific encoding.
     * </p>
     *
     * @param text
     *            a string to encode
     * @param charsetName
     *            the charset to use
     * @return RFC 1522 compliant ""encoded-word""
     * @throws EncoderException
     *             thrown if there is an error condition during the Encoding process.
     * @throws UnsupportedCharsetException
     *             if charset is not available
     * @see Charset","protected String encodeText(final String text, final String charsetName) throws EncoderException {
    if (text == null) {
        // Don't attempt charsetName conversion.
        return null;
    }
    return encodeText(text, Charset.forName(charsetName));
}","String","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String).text","Parameter_1","Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String).charsetName","Parameter_2","Belong to org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.getCharset()","Method","* Gets the default Charset name used for string decoding and encoding.
     *
     * @return the default Charset name
     * @since 1.7","public Charset getCharset() {
    return charset;
}","Charset","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.getDefaultCharset()","Method","* Gets the default Charset name used for string decoding and encoding.
     *
     * @return the default Charset name","public String getDefaultCharset() {
    return charset.name();
}","String","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.getEncoding()","Abstract Method","* Returns the codec name (referred to as encoding in the RFC 1522).
     *
     * @return name of the codec.","protected abstract String getEncoding();","String","protected , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.<init>(Charset)","Constructor","No Comment","RFC1522Codec(final Charset charset) {
    this.charset = Objects.requireNonNull(charset, ""charset"");
}","No return type","default","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.<init>(Charset).charset","Parameter_1","Belong to org.apache.commons.codec.net.RFC1522Codec.<init>(Charset)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec","Class","* Codec for the Quoted-Printable section of <a href=""http://www.ietf.org/rfc/rfc1521.txt"">RFC 1521</a>.
 * <p>
 * The Quoted-Printable encoding is intended to represent data that largely consists of octets that correspond to
 * printable characters in the ASCII character set. It encodes the data in such a way that the resulting octets are
 * unlikely to be modified by mail transport. If the data being encoded are mostly ASCII text, the encoded form of the
 * data remains largely recognizable by humans. A body which is entirely ASCII may also be encoded in Quoted-Printable
 * to ensure the integrity of the data should the message pass through a character- translating, and/or line-wrapping
 * gateway.
 * </p>
 * <p>
 * Note:
 * </p>
 * <p>
 * Depending on the selected {@code strict} parameter, this class will implement a different set of rules of the
 * quoted-printable spec:
 * </p>
 * <ul>
 *   <li>{@code strict=false}: only rules #1 and #2 are implemented</li>
 *   <li>{@code strict=true}: all rules #1 through #5 are implemented</li>
 * </ul>
 * <p>
 * Originally, this class only supported the non-strict mode, but the codec in this partial form could already be used
 * for certain applications that do not require quoted-printable line formatting (rules #3, #4, #5), for instance
 * Q codec. The strict mode has been added in 1.10.
 * </p>
 * <p>
 * This class is immutable and thread-safe.
 * </p>
 *
 * @see <a href=""http://www.ietf.org/rfc/rfc1521.txt"">RFC 1521 MIME (Multipurpose Internet Mail Extensions) Part One:
 *          Mechanisms for Specifying and Describing the Format of Internet Message Bodies </a>
 *
 * @since 1.3","Class do not obtain Source Code","No return type","public ","","org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.StringEncoder;org.apache.commons.codec.StringDecoder"
"org.apache.commons.codec.net.QuotedPrintableCodec.PRINTABLE_CHARS","Field","* BitSet of printable characters as defined in RFC 1521.","private static final BitSet PRINTABLE_CHARS = new BitSet(256);","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.ESCAPE_CHAR","Field","No Comment","private static final byte ESCAPE_CHAR = '=';","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.TAB","Field","No Comment","private static final byte TAB = 9;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.SPACE","Field","No Comment","private static final byte SPACE = 32;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.CR","Field","No Comment","private static final byte CR = 13;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.LF","Field","No Comment","private static final byte LF = 10;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.MIN_BYTES","Field","* Minimum length required for the byte arrays used by encodeQuotedPrintable method","private static final int MIN_BYTES = 3;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.SAFE_LENGTH","Field","* Safe line length for quoted printable encoded text.","private static final int SAFE_LENGTH = 73;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.charset","Field","* The default Charset used for string decoding and encoding.","private final Charset charset;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.strict","Field","* Indicates whether soft line breaks shall be used during encoding (rule #3-5).","private final boolean strict;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[])","Method","* Decodes an array quoted-printable characters into an array of original bytes. Escaped characters are converted
     * back to their original representation.
     * <p>
     * This function fully implements the quoted-printable encoding specification (rule #1 through rule #5) as
     * defined in RFC 1521.
     * </p>
     *
     * @param bytes
     *            array of quoted-printable characters
     * @return array of original bytes
     * @throws DecoderException
     *             Thrown if quoted-printable decoding is unsuccessful","public static final byte[] decodeQuotedPrintable(final byte[] bytes) throws DecoderException {
    if (bytes == null) {
        return null;
    }
    final ByteArrayOutputStream buffer = new ByteArrayOutputStream();
    for (int i = 0; i < bytes.length; i++) {
        final int b = bytes[i];
        if (b == ESCAPE_CHAR) {
            try {
                // if the next octet is a CR we have found a soft line break
                if (bytes[++i] == CR) {
                    continue;
                }
                final int u = Utils.digit16(bytes[i]);
                final int l = Utils.digit16(bytes[++i]);
                buffer.write((char) ((u << 4) + l));
            } catch (final ArrayIndexOutOfBoundsException e) {
                throw new DecoderException(""Invalid quoted-printable encoding"", e);
            }
        } else if (b != CR && b != LF) {
            // every other octet is appended except for CR & LF
            buffer.write(b);
        }
    }
    return buffer.toByteArray();
}","byte[]","public , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).bytes","Parameter_1","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[])","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream)","Method","* Encodes a byte in the buffer.
     *
     * @param b
     *            byte to write
     * @param encode
     *            indicates whether the octet shall be encoded
     * @param buffer
     *            the buffer to write to
     * @return the number of bytes that have been written to the buffer","private static int encodeByte(final int b, final boolean encode, final ByteArrayOutputStream buffer) {
    if (encode) {
        return encodeQuotedPrintable(b, buffer);
    }
    buffer.write(b);
    return 1;
}","int","private , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream).b","Parameter_1","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream).encode","Parameter_2","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream).buffer","Parameter_3","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])","Method","* Encodes an array of bytes into an array of quoted-printable 7-bit characters. Unsafe characters are escaped.
     * <p>
     * This function implements a subset of quoted-printable encoding specification (rule #1 and rule #2) as defined in
     * RFC 1521 and is suitable for encoding binary data and unformatted text.
     * </p>
     *
     * @param printable
     *            bitset of characters deemed quoted-printable
     * @param bytes
     *            array of bytes to be encoded
     * @return array of bytes containing quoted-printable data","public static final byte[] encodeQuotedPrintable(final BitSet printable, final byte[] bytes) {
    return encodeQuotedPrintable(printable, bytes, false);
}","byte[]","public , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[]).printable","Parameter_1","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[]).bytes","Parameter_2","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[])","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean)","Method","* Encodes an array of bytes into an array of quoted-printable 7-bit characters. Unsafe characters are escaped.
     * <p>
     * Depending on the selection of the {@code strict} parameter, this function either implements the full ruleset
     * or only a subset of quoted-printable encoding specification (rule #1 and rule #2) as defined in
     * RFC 1521 and is suitable for encoding binary data and unformatted text.
     * </p>
     *
     * @param printable
     *            bitset of characters deemed quoted-printable
     * @param bytes
     *            array of bytes to be encoded
     * @param strict
     *            if {@code true} the full ruleset is used, otherwise only rule #1 and rule #2
     * @return array of bytes containing quoted-printable data
     * @since 1.10","public static final byte[] encodeQuotedPrintable(BitSet printable, final byte[] bytes, final boolean strict) {
    if (bytes == null) {
        return null;
    }
    if (printable == null) {
        printable = PRINTABLE_CHARS;
    }
    final ByteArrayOutputStream buffer = new ByteArrayOutputStream();
    final int bytesLength = bytes.length;
    if (strict) {
        if (bytesLength < MIN_BYTES) {
            return null;
        }
        int pos = 1;
        // encode up to buffer.length - 3, the last three octets will be treated
        // separately for simplification of note #3
        for (int i = 0; i < bytesLength - 3; i++) {
            final int b = getUnsignedOctet(i, bytes);
            if (pos < SAFE_LENGTH) {
                // up to this length it is safe to add any byte, encoded or not
                pos += encodeByte(b, !printable.get(b), buffer);
            } else {
                // rule #3: whitespace at the end of a line *must* be encoded
                encodeByte(b, !printable.get(b) || isWhitespace(b), buffer);
                // rule #5: soft line break
                buffer.write(ESCAPE_CHAR);
                buffer.write(CR);
                buffer.write(LF);
                pos = 1;
            }
        }
        // rule #3: whitespace at the end of a line *must* be encoded
        // if we would do a soft break line after this octet, encode whitespace
        int b = getUnsignedOctet(bytesLength - 3, bytes);
        boolean encode = !printable.get(b) || isWhitespace(b) && pos > SAFE_LENGTH - 5;
        pos += encodeByte(b, encode, buffer);
        // note #3: '=' *must not* be the ultimate or penultimate character
        // simplification: if < 6 bytes left, do a soft line break as we may need
        //                 exactly 6 bytes space for the last 2 bytes
        if (pos > SAFE_LENGTH - 2) {
            buffer.write(ESCAPE_CHAR);
            buffer.write(CR);
            buffer.write(LF);
        }
        for (int i = bytesLength - 2; i < bytesLength; i++) {
            b = getUnsignedOctet(i, bytes);
            // rule #3: trailing whitespace shall be encoded
            encode = !printable.get(b) || i > bytesLength - 2 && isWhitespace(b);
            encodeByte(b, encode, buffer);
        }
    } else {
        for (final byte c : bytes) {
            int b = c;
            if (b < 0) {
                b = 256 + b;
            }
            if (printable.get(b)) {
                buffer.write(b);
            } else {
                encodeQuotedPrintable(b, buffer);
            }
        }
    }
    return buffer.toByteArray();
}","byte[]","public , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean).printable","Parameter_1","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean).bytes","Parameter_2","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean).strict","Parameter_3","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(int,ByteArrayOutputStream)","Method","* Encodes byte into its quoted-printable representation.
     *
     * @param b
     *            byte to encode
     * @param buffer
     *            the buffer to write to
     * @return The number of bytes written to the {@code buffer}","private static int encodeQuotedPrintable(final int b, final ByteArrayOutputStream buffer) {
    buffer.write(ESCAPE_CHAR);
    final char hex1 = Utils.hexDigit(b >> 4);
    final char hex2 = Utils.hexDigit(b);
    buffer.write(hex1);
    buffer.write(hex2);
    return 3;
}","int","private , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(int,ByteArrayOutputStream).b","Parameter_1","Belong to org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(int,ByteArrayOutputStream)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
