"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChildOrPlaceholder(int)","Method","* Method similar to {@link #makeChild} but one that only creates real
     * instance of {@link com.fasterxml.jackson.core.JsonFactory.Feature#CANONICALIZE_FIELD_NAMES} is
     * enabled: otherwise a ""bogus"" instance is created.
     *
     * @param flags Bit flags of active {@link com.fasterxml.jackson.core.JsonFactory.Feature}s enabled.
     *
     * @return Actual canonicalizer instance that can be used by a parser if (and only if)
     *    canonicalization is enabled; otherwise a non-null ""placeholder"" instance.
     *
     * @since 2.13","public ByteQuadsCanonicalizer makeChildOrPlaceholder(int flags) {
    if (JsonFactory.Feature.CANONICALIZE_FIELD_NAMES.enabledIn(flags)) {
        // inlined ""makeChild()""
        return new ByteQuadsCanonicalizer(this, _seed, _tableInfo.get(), JsonFactory.Feature.INTERN_FIELD_NAMES.enabledIn(flags), JsonFactory.Feature.FAIL_ON_SYMBOL_HASH_OVERFLOW.enabledIn(flags));
    }
    return new ByteQuadsCanonicalizer(_tableInfo.get());
}","ByteQuadsCanonicalizer","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChildOrPlaceholder(int).flags","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChildOrPlaceholder(int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.release()","Method","* Method called by the using code to indicate it is done with this instance.
     * This lets instance merge accumulated changes into parent (if need be),
     * safely and efficiently, and without calling code having to know about parent
     * information.","public void release() {
    // we will try to merge if child table has new entries
    // 28-Jul-2019, tatu: From [core#548]: do not share if immediate rehash needed
    if ((_parent != null) && maybeDirty()) {
        _parent.mergeChild(new TableInfo(this));
        // Let's also mark this instance as dirty, so that just in
        // case release was too early, there's no corruption of possibly shared data.
        _hashShared = true;
    }
}","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.mergeChild(TableInfo)","Method","No Comment","private void mergeChild(TableInfo childState) {
    final int childCount = childState.count;
    TableInfo currState = _tableInfo.get();
    // Should usually grow; but occasionally could also shrink if (but only if)
    // collision list overflow ends up clearing some collision lists.
    if (childCount == currState.count) {
        return;
    }
    // One caveat: let's try to avoid problems with degenerate cases of documents with
    // generated ""random"" names: for these, symbol tables would bloat indefinitely.
    // One way to do this is to just purge tables if they grow
    // too large, and that's what we'll do here.
    if (childCount > MAX_ENTRIES_FOR_REUSE) {
        // At any rate, need to clean up the tables
        childState = TableInfo.createInitial(DEFAULT_T_SIZE);
    }
    _tableInfo.compareAndSet(currState, childState);
}","void","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.mergeChild(TableInfo).childState","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.mergeChild(TableInfo)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.size()","Method","* @return Number of symbol entries contained by this canonicalizer instance","public int size() {
    if (_tableInfo != null) {
        // root table
        return _tableInfo.get().count;
    }
    // nope, child table
    return _count;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.bucketCount()","Method","* @return number of primary slots table has currently","public int bucketCount() {
    return _hashSize;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.maybeDirty()","Method","* Method called to check to quickly see if a child symbol table
     * may have gotten additional entries. Used for checking to see
     * if a child table should be merged into shared table.
     *
     * @return Whether main hash area has been modified","public boolean maybeDirty() {
    return !_hashShared;
}","boolean","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.hashSeed()","Method","No Comment","public int hashSeed() {
    return _seed;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.isCanonicalizing()","Method","* @return True for ""real"", canonicalizing child tables; false for
     *    root table as well as placeholder ""child"" tables.
     *
     * @since 2.13","public boolean isCanonicalizing() {
    // couple of options, but for now missing parent linkage simplest:
    return _parent != null;
}","boolean","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.primaryCount()","Method","* Method mostly needed by unit tests; calculates number of
     * entries that are in the primary slot set. These are
     * ""perfect"" entries, accessible with a single lookup
     *
     * @return Number of entries in the primary hash area","public int primaryCount() {
    int count = 0;
    for (int offset = 3, end = _secondaryStart; offset < end; offset += 4) {
        if (_hashArea[offset] != 0) {
            ++count;
        }
    }
    return count;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.secondaryCount()","Method","* Method mostly needed by unit tests; calculates number of entries
     * in secondary buckets
     *
     * @return Number of entries in the secondary hash area","public int secondaryCount() {
    int count = 0;
    int offset = _secondaryStart + 3;
    for (int end = _tertiaryStart; offset < end; offset += 4) {
        if (_hashArea[offset] != 0) {
            ++count;
        }
    }
    return count;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.tertiaryCount()","Method","* Method mostly needed by unit tests; calculates number of entries
     * in tertiary buckets
     *
     * @return Number of entries in the tertiary hash area","public int tertiaryCount() {
    int count = 0;
    // to 1.5x, starting point of tertiary
    int offset = _tertiaryStart + 3;
    for (int end = offset + _hashSize; offset < end; offset += 4) {
        if (_hashArea[offset] != 0) {
            ++count;
        }
    }
    return count;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.spilloverCount()","Method","* Method mostly needed by unit tests; calculates number of entries
     * in shared spill-over area
     *
     * @return Number of entries in the linear spill-over areay","public int spilloverCount() {
    // difference between spillover end, start, divided by 4 (four ints per slot)
    return (_spilloverEnd - _spilloverStart()) >> 2;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.totalCount()","Method","No Comment","public int totalCount() {
    int count = 0;
    for (int offset = 3, end = (_hashSize << 3); offset < end; offset += 4) {
        if (_hashArea[offset] != 0) {
            ++count;
        }
    }
    return count;
}","int","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.toString()","Method","No Comment","@Override
public String toString() {
    int pri = primaryCount();
    int sec = secondaryCount();
    int tert = tertiaryCount();
    int spill = spilloverCount();
    int total = totalCount();
    return String.format(""[%s: size=%d, hashSize=%d, %d/%d/%d/%d pri/sec/ter/spill (=%s), total:%d]"", getClass().getName(), _count, _hashSize, pri, sec, tert, spill, (pri + sec + tert + spill), total);
}","String","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int)","Method","No Comment","public String findName(int q1) {
    int offset = _calcOffset(calcHash(q1));
    // first: primary match?
    final int[] hashArea = _hashArea;
    int len = hashArea[offset + 3];
    if (len == 1) {
        if (hashArea[offset] == q1) {
            return _names[offset >> 2];
        }
    } else if (len == 0) {
        // empty slot; unlikely but avoid further lookups if so
        return null;
    }
    // secondary? single slot shared by N/2 primaries
    int offset2 = _secondaryStart + ((offset >> 3) << 2);
    len = hashArea[offset2 + 3];
    if (len == 1) {
        if (hashArea[offset2] == q1) {
            return _names[offset2 >> 2];
        }
    } else if (len == 0) {
        // empty slot; unlikely but avoid further lookups if so
        return null;
    }
    // tertiary lookup & spillovers best to offline
    return _findSecondary(offset, q1);
}","String","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int).q1","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int)","Method","No Comment","public String findName(int q1, int q2) {
    int offset = _calcOffset(calcHash(q1, q2));
    final int[] hashArea = _hashArea;
    int len = hashArea[offset + 3];
    if (len == 2) {
        if ((q1 == hashArea[offset]) && (q2 == hashArea[offset + 1])) {
            return _names[offset >> 2];
        }
    } else if (len == 0) {
        // empty slot; unlikely but avoid further lookups if so
        return null;
    }
    // secondary?
    int offset2 = _secondaryStart + ((offset >> 3) << 2);
    len = hashArea[offset2 + 3];
    if (len == 2) {
        if ((q1 == hashArea[offset2]) && (q2 == hashArea[offset2 + 1])) {
            return _names[offset2 >> 2];
        }
    } else if (len == 0) {
        // empty slot? Short-circuit if no more spillovers
        return null;
    }
    return _findSecondary(offset, q1, q2);
}","String","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int).q1","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int).q2","Parameter_2","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int)","Method","No Comment","public String findName(int q1, int q2, int q3) {
    int offset = _calcOffset(calcHash(q1, q2, q3));
    final int[] hashArea = _hashArea;
    int len = hashArea[offset + 3];
    if (len == 3) {
        if ((q1 == hashArea[offset]) && (hashArea[offset + 1] == q2) && (hashArea[offset + 2] == q3)) {
            return _names[offset >> 2];
        }
    } else if (len == 0) {
        // empty slot; unlikely but avoid further lookups if so
        return null;
    }
    // secondary?
    int offset2 = _secondaryStart + ((offset >> 3) << 2);
    len = hashArea[offset2 + 3];
    if (len == 3) {
        if ((q1 == hashArea[offset2]) && (hashArea[offset2 + 1] == q2) && (hashArea[offset2 + 2] == q3)) {
            return _names[offset2 >> 2];
        }
    } else if (len == 0) {
        // empty slot? Short-circuit if no more spillovers
        return null;
    }
    return _findSecondary(offset, q1, q2, q3);
}","String","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int).q1","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int).q2","Parameter_2","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int).q3","Parameter_3","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int)","Method","No Comment","public String findName(int[] q, int qlen) {
    /* This version differs significantly, because longer names do not fit within cell.
         * Rather, they contain hash in main slot, and offset+length to extension area
         * that contains actual quads.
         */
    if (qlen < 4) {
        // another sanity check
        switch(qlen) {
            case 3:
                return findName(q[0], q[1], q[2]);
            case 2:
                return findName(q[0], q[1]);
            case 1:
                return findName(q[0]);
            default:
                // if 0 ever passed
                return """";
        }
    }
    final int hash = calcHash(q, qlen);
    int offset = _calcOffset(hash);
    final int[] hashArea = _hashArea;
    final int len = hashArea[offset + 3];
    if ((hash == hashArea[offset]) && (len == qlen)) {
        // probable but not guaranteed: verify
        if (_verifyLongName(q, qlen, hashArea[offset + 1])) {
            return _names[offset >> 2];
        }
    }
    if (len == 0) {
        // empty slot; unlikely but avoid further lookups if so
        return null;
    }
    // secondary?
    int offset2 = _secondaryStart + ((offset >> 3) << 2);
    final int len2 = hashArea[offset2 + 3];
    if ((hash == hashArea[offset2]) && (len2 == qlen)) {
        if (_verifyLongName(q, qlen, hashArea[offset2 + 1])) {
            return _names[offset2 >> 2];
        }
    }
    return _findSecondary(offset, hash, q, qlen);
}","String","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int).q","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int).qlen","Parameter_2","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._calcOffset(int)","Method","No Comment","private final int _calcOffset(int hash) {
    // NOTE: simple for initial impl, but we may want to interleave it a bit
    // in near future
    // So: first, hash into primary hash index
    int ix = hash & (_hashSize - 1);
    // keeping in mind we have 4 ints per entry
    return (ix << 2);
}","int","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._calcOffset(int).hash","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._calcOffset(int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int)","Method","No Comment","private String _findSecondary(int origOffset, int q1) {
    // tertiary area division is dynamic. First; its size is N/4 compared to
    // primary hash size; and offsets are for 4 int slots. So to get to logical
    // index would shift by 4. But! Tertiary area is further split into buckets,
    // determined by shift value. And finally, from bucket back into physical offsets
    int offset = _tertiaryStart + ((origOffset >> (_tertiaryShift + 2)) << _tertiaryShift);
    final int[] hashArea = _hashArea;
    final int bucketSize = (1 << _tertiaryShift);
    for (int end = offset + bucketSize; offset < end; offset += 4) {
        int len = hashArea[offset + 3];
        if ((q1 == hashArea[offset]) && (1 == len)) {
            return _names[offset >> 2];
        }
        if (len == 0) {
            return null;
        }
    }
    // but if tertiary full, check out spill-over area as last resort
    // shared spillover starts at 7/8 of the main hash area
    // (which is sized at 2 * _hashSize), so:
    for (offset = _spilloverStart(); offset < _spilloverEnd; offset += 4) {
        if ((q1 == hashArea[offset]) && (1 == hashArea[offset + 3])) {
            return _names[offset >> 2];
        }
    }
    return null;
}","String","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int).origOffset","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int).q1","Parameter_2","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int)","Method","No Comment","private String _findSecondary(int origOffset, int q1, int q2) {
    int offset = _tertiaryStart + ((origOffset >> (_tertiaryShift + 2)) << _tertiaryShift);
    final int[] hashArea = _hashArea;
    final int bucketSize = (1 << _tertiaryShift);
    for (int end = offset + bucketSize; offset < end; offset += 4) {
        int len = hashArea[offset + 3];
        if ((q1 == hashArea[offset]) && (q2 == hashArea[offset + 1]) && (2 == len)) {
            return _names[offset >> 2];
        }
        if (len == 0) {
            return null;
        }
    }
    for (offset = _spilloverStart(); offset < _spilloverEnd; offset += 4) {
        if ((q1 == hashArea[offset]) && (q2 == hashArea[offset + 1]) && (2 == hashArea[offset + 3])) {
            return _names[offset >> 2];
        }
    }
    return null;
}","String","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int).origOffset","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int).q1","Parameter_2","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int).q2","Parameter_3","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
