FEN,Type,class,sub_signature,cfg_dot
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace(MapperConfig,Annotated)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.cfg.MapperConfig","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace(MapperConfig,Annotated)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.introspect.Annotated","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData(MapperConfig,Annotated)","Method","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","java.lang.Boolean isOutputAsCData(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)","digraph cfg_isOutputAsCData {
	""1"" [label=""$stack4 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""2"" [label=""$stack5 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""3"" [label=""$stack6 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""4"" [label=""$stack7 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""5"" [label=""ann := @parameter1: com.fasterxml.jackson.databind.introspect.Annotated""];
	""6"" [label=""config := @parameter0: com.fasterxml.jackson.databind.cfg.MapperConfig""];
	""7"" [label=""goto""];
	""8"" [label=""if $stack4 != null""];
	""9"" [label=""if $stack6 == null""];
	""10"" [label=""if value != null""];
	""11"" [label=""return value""];
	""12"" [label=""this := @this: com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair""];
	""13"" [label=""value = interfaceinvoke $stack5.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.Boolean isOutputAsCData(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""14"" [label=""value = interfaceinvoke $stack7.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.Boolean isOutputAsCData(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""15"" [label=""value = null""];
	""1"" -> ""8""[label=""cfg_next""];
	""10"" -> ""11""[label=""cfg_true""];
	""10"" -> ""3""[label=""cfg_false""];
	""12"" -> ""6""[label=""cfg_next""];
	""13"" -> ""10""[label=""cfg_next""];
	""14"" -> ""11""[label=""cfg_next""];
	""15"" -> ""7""[label=""cfg_next""];
	""2"" -> ""13""[label=""cfg_next""];
	""3"" -> ""9""[label=""cfg_next""];
	""4"" -> ""14""[label=""cfg_next""];
	""5"" -> ""1""[label=""cfg_next""];
	""6"" -> ""5""[label=""cfg_next""];
	""7"" -> ""10""[label=""cfg_goto""];
	""8"" -> ""15""[label=""cfg_false""];
	""8"" -> ""2""[label=""cfg_true""];
	""9"" -> ""11""[label=""cfg_true""];
	""9"" -> ""4""[label=""cfg_false""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData(MapperConfig,Annotated)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.cfg.MapperConfig","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsCData(MapperConfig,Annotated)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.introspect.Annotated","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsText(MapperConfig,Annotated)","Method","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","java.lang.Boolean isOutputAsText(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)","digraph cfg_isOutputAsText {
	""1"" [label=""$stack4 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""2"" [label=""$stack5 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""3"" [label=""$stack6 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""4"" [label=""$stack7 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""5"" [label=""ann := @parameter1: com.fasterxml.jackson.databind.introspect.Annotated""];
	""6"" [label=""config := @parameter0: com.fasterxml.jackson.databind.cfg.MapperConfig""];
	""7"" [label=""goto""];
	""8"" [label=""if $stack4 != null""];
	""9"" [label=""if $stack6 == null""];
	""10"" [label=""if value != null""];
	""11"" [label=""return value""];
	""12"" [label=""this := @this: com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair""];
	""13"" [label=""value = interfaceinvoke $stack5.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.Boolean isOutputAsText(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""14"" [label=""value = interfaceinvoke $stack7.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.Boolean isOutputAsText(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""15"" [label=""value = null""];
	""1"" -> ""8""[label=""cfg_next""];
	""10"" -> ""11""[label=""cfg_true""];
	""10"" -> ""3""[label=""cfg_false""];
	""12"" -> ""6""[label=""cfg_next""];
	""13"" -> ""10""[label=""cfg_next""];
	""14"" -> ""11""[label=""cfg_next""];
	""15"" -> ""7""[label=""cfg_next""];
	""2"" -> ""13""[label=""cfg_next""];
	""3"" -> ""9""[label=""cfg_next""];
	""4"" -> ""14""[label=""cfg_next""];
	""5"" -> ""1""[label=""cfg_next""];
	""6"" -> ""5""[label=""cfg_next""];
	""7"" -> ""10""[label=""cfg_goto""];
	""8"" -> ""15""[label=""cfg_false""];
	""8"" -> ""2""[label=""cfg_true""];
	""9"" -> ""11""[label=""cfg_true""];
	""9"" -> ""4""[label=""cfg_false""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsText(MapperConfig,Annotated)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.cfg.MapperConfig","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsText(MapperConfig,Annotated)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.introspect.Annotated","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>(AnnotationIntrospector,AnnotationIntrospector)","Method","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","void <init>(com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.AnnotationIntrospector)","digraph cfg_<init> {
	""1"" [label=""$stack3 = p instanceof com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions""];
	""2"" [label=""$stack4 = s instanceof com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions""];
	""3"" [label=""$stack5 = (com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions) s""];
	""4"" [label=""$stack6 = (com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions) p""];
	""5"" [label=""goto""];
	""6"" [label=""goto""];
	""7"" [label=""if $stack3 == 0""];
	""8"" [label=""if $stack4 == 0""];
	""9"" [label=""p := @parameter0: com.fasterxml.jackson.databind.AnnotationIntrospector""];
	""10"" [label=""return""];
	""11"" [label=""s := @parameter1: com.fasterxml.jackson.databind.AnnotationIntrospector""];
	""12"" [label=""specialinvoke this.<com.fasterxml.jackson.databind.introspect.AnnotationIntrospectorPair: void <init>(com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.AnnotationIntrospector)>(p, s)""];
	""13"" [label=""this := @this: com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair""];
	""14"" [label=""this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary> = $stack6""];
	""15"" [label=""this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary> = null""];
	""16"" [label=""this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary> = $stack5""];
	""17"" [label=""this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary> = null""];
	""1"" -> ""7""[label=""cfg_next""];
	""11"" -> ""12""[label=""cfg_next""];
	""12"" -> ""1""[label=""cfg_next""];
	""13"" -> ""9""[label=""cfg_next""];
	""14"" -> ""5""[label=""cfg_next""];
	""15"" -> ""2""[label=""cfg_next""];
	""16"" -> ""6""[label=""cfg_next""];
	""17"" -> ""10""[label=""cfg_next""];
	""2"" -> ""8""[label=""cfg_next""];
	""3"" -> ""16""[label=""cfg_next""];
	""4"" -> ""14""[label=""cfg_next""];
	""5"" -> ""2""[label=""cfg_goto""];
	""6"" -> ""10""[label=""cfg_goto""];
	""7"" -> ""15""[label=""cfg_true""];
	""7"" -> ""4""[label=""cfg_false""];
	""8"" -> ""17""[label=""cfg_true""];
	""8"" -> ""3""[label=""cfg_false""];
	""9"" -> ""11""[label=""cfg_next""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>(AnnotationIntrospector,AnnotationIntrospector)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.AnnotationIntrospector","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.<init>(AnnotationIntrospector,AnnotationIntrospector)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.AnnotationIntrospector","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.<init>()","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","void <init>()","digraph cfg_<init> {
	""1"" [label=""return""];
	""2"" [label=""specialinvoke this.<java.lang.Object: void <init>()>()""];
	""3"" [label=""this := @this: com.fasterxml.jackson.dataformat.xml.XmlNameProcessors""];
	""2"" -> ""1""[label=""cfg_next""];
	""3"" -> ""2""[label=""cfg_next""];
}
"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newReplacementProcessor(String)","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newReplacementProcessor(java.lang.String)","digraph cfg_newReplacementProcessor {
	""1"" [label=""$stack1 = new com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$ReplaceNameProcessor""];
	""2"" [label=""replacement := @parameter0: java.lang.String""];
	""3"" [label=""return $stack1""];
	""4"" [label=""specialinvoke $stack1.<com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$ReplaceNameProcessor: void <init>(java.lang.String)>(replacement)""];
	""1"" -> ""4""[label=""cfg_next""];
	""2"" -> ""1""[label=""cfg_next""];
	""4"" -> ""3""[label=""cfg_next""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newReplacementProcessor(String)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","java.lang.String","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newPassthroughProcessor()","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newPassthroughProcessor()","digraph cfg_newPassthroughProcessor {
	""1"" [label=""$stack0 = new com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$PassthroughProcessor""];
	""2"" [label=""return $stack0""];
	""3"" [label=""specialinvoke $stack0.<com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$PassthroughProcessor: void <init>()>()""];
	""1"" -> ""3""[label=""cfg_next""];
	""3"" -> ""2""[label=""cfg_next""];
}
"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newBase64Processor(String)","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newBase64Processor(java.lang.String)","digraph cfg_newBase64Processor {
	""1"" [label=""$stack1 = new com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$Base64NameProcessor""];
	""2"" [label=""prefix := @parameter0: java.lang.String""];
	""3"" [label=""return $stack1""];
	""4"" [label=""specialinvoke $stack1.<com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$Base64NameProcessor: void <init>(java.lang.String)>(prefix)""];
	""1"" -> ""4""[label=""cfg_next""];
	""2"" -> ""1""[label=""cfg_next""];
	""4"" -> ""3""[label=""cfg_next""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newBase64Processor(String)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","java.lang.String","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newBase64Processor()","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newBase64Processor()","digraph cfg_newBase64Processor {
	""1"" [label=""$stack0 = staticinvoke <com.fasterxml.jackson.dataformat.xml.XmlNameProcessors: com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newBase64Processor(java.lang.String)>(\""base64_tag_\"")""];
	""2"" [label=""return $stack0""];
	""1"" -> ""2""[label=""cfg_next""];
}
"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newAlwaysOnBase64Processor()","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newAlwaysOnBase64Processor()","digraph cfg_newAlwaysOnBase64Processor {
	""1"" [label=""$stack0 = new com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$AlwaysOnBase64NameProcessor""];
	""2"" [label=""return $stack0""];
	""3"" [label=""specialinvoke $stack0.<com.fasterxml.jackson.dataformat.xml.XmlNameProcessors$AlwaysOnBase64NameProcessor: void <init>()>()""];
	""1"" -> ""3""[label=""cfg_next""];
	""3"" -> ""2""[label=""cfg_next""];
}
"
"com.fasterxml.jackson.dataformat.xml.XmlNameProcessors.newReplacementProcessor()","Method","com.fasterxml.jackson.dataformat.xml.XmlNameProcessors","com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newReplacementProcessor()","digraph cfg_newReplacementProcessor {
	""1"" [label=""$stack0 = staticinvoke <com.fasterxml.jackson.dataformat.xml.XmlNameProcessors: com.fasterxml.jackson.dataformat.xml.XmlNameProcessor newReplacementProcessor(java.lang.String)>(\""_\"")""];
	""2"" [label=""return $stack0""];
	""1"" -> ""2""[label=""cfg_next""];
}
"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,boolean)","Method","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,boolean)","digraph cfg_writeLeafElement {
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,boolean)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","org.codehaus.stax2.XMLStreamWriter2","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,boolean)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","java.lang.String","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,boolean)","Parameter_3","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","java.lang.String","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,boolean)","Parameter_4","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","boolean","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,Base64Variant,byte[],int,int)","Method","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,org.codehaus.stax2.typed.Base64Variant,byte[],int,int)","digraph cfg_writeLeafElement {
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,Base64Variant,byte[],int,int)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","org.codehaus.stax2.XMLStreamWriter2","Parameter does not obtain cfg"
