"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"org.apache.commons.jxpath.JXPathContext.keyManager","Field","KeyManager","protected KeyManager keyManager;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.decimalFormats","Field","Decimal format map","protected HashMap<String, DecimalFormatSymbols> decimalFormats;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.locale","Field","No Comment","private Locale locale;","No return type","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.lenientSet","Field","No Comment","private boolean lenientSet = false;","No return type","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.lenient","Field","No Comment","private boolean lenient = false;","No return type","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.newContext(Object)","Method","* Creates a new JXPathContext with the specified object as the root node.
     * @param contextBean Object
     * @return JXPathContext","public static JXPathContext newContext(final Object contextBean) {
    return getContextFactory().newContext(null, contextBean);
}","JXPathContext","public , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.newContext(Object).contextBean","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.newContext(Object)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object)","Method","* Creates a new JXPathContext with the specified bean as the root node and
     * the specified parent context. Variables defined in a parent context can
     * be referenced in XPaths passed to the child context.
     * @param parentContext parent context
     * @param contextBean Object
     * @return JXPathContext","public static JXPathContext newContext(final JXPathContext parentContext, final Object contextBean) {
    return getContextFactory().newContext(parentContext, contextBean);
}","JXPathContext","public , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).parentContext","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).contextBean","Parameter_2","Belong to org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getContextFactory()","Method","* Acquires a context factory and caches it.
     * @return JXPathContextFactory","private static JXPathContextFactory getContextFactory() {
    if (contextFactory == null) {
        contextFactory = JXPathContextFactory.newInstance();
    }
    return contextFactory;
}","JXPathContextFactory","private , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getParentContext()","Method","* Returns the parent context of this context or null.
     * @return JXPathContext","public JXPathContext getParentContext() {
    return parentContext;
}","JXPathContext","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getContextBean()","Method","* Returns the JavaBean associated with this context.
     * @return Object","public Object getContextBean() {
    return contextBean;
}","Object","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getContextPointer()","Abstract Method","* Returns a Pointer for the context bean.
     * @return Pointer","public abstract Pointer getContextPointer();","Pointer","public , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getRelativeContext(Pointer)","Abstract Method","* Returns a JXPathContext that is relative to the current JXPathContext.
     * The supplied pointer becomes the context pointer of the new context.
     * The relative context inherits variables, extension functions, locale etc
     * from the parent context.
     * @param pointer Pointer
     * @return JXPathContext","public abstract JXPathContext getRelativeContext(Pointer pointer);","JXPathContext","public , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getRelativeContext(Pointer).pointer","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.getRelativeContext(Pointer)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setVariables(Variables)","Method","* Installs a custom implementation of the Variables interface.
     * @param vars Variables","public void setVariables(final Variables vars) {
    this.vars = vars;
}","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setVariables(Variables).vars","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setVariables(Variables)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getVariables()","Method","* Returns the variable pool associated with the context. If no such
     * pool was specified with the {@link #setVariables} method,
     * returns the default implementation of Variables,
     * {@link BasicVariables BasicVariables}.
     * @return Variables","public Variables getVariables() {
    if (vars == null) {
        vars = new BasicVariables();
    }
    return vars;
}","Variables","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setFunctions(Functions)","Method","* Install a library of extension functions.
     * @param functions Functions
     * @see FunctionLibrary","public void setFunctions(final Functions functions) {
    this.functions = functions;
}","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setFunctions(Functions).functions","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setFunctions(Functions)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getFunctions()","Method","* Returns the set of functions installed on the context.
     * @return Functions","public Functions getFunctions() {
    if (functions != null) {
        return functions;
    }
    if (parentContext == null) {
        return GENERIC_FUNCTIONS;
    }
    return null;
}","Functions","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory)","Method","* Install an abstract factory that should be used by the
     * {@code createPath()} and {@code createPathAndSetValue()}
     * methods.
     * @param factory AbstractFactory","public void setFactory(final AbstractFactory factory) {
    this.factory = factory;
}","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory).factory","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getFactory()","Method","* Returns the AbstractFactory installed on this context.
     * If none has been installed and this context has a parent context,
     * returns the parent's factory.  Otherwise returns null.
     * @return AbstractFactory","public AbstractFactory getFactory() {
    if (factory == null && parentContext != null) {
        return parentContext.getFactory();
    }
    return factory;
}","AbstractFactory","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setLocale(Locale)","Method","* Sets the locale for this context.  The value of the ""lang""
     * attribute as well as the lang() function will be
     * affected by the locale.  By default, JXPath uses
     * {@code Locale.getDefault()}
     * @param locale Locale","public synchronized void setLocale(final Locale locale) {
    this.locale = locale;
}","void","public , synchronized ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setLocale(Locale).locale","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setLocale(Locale)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getLocale()","Method","* Returns the locale set with setLocale. If none was set and
     * the context has a parent, returns the parent's locale.
     * Otherwise, returns Locale.getDefault().
     * @return Locale","public synchronized Locale getLocale() {
    if (locale == null) {
        if (parentContext != null) {
            return parentContext.getLocale();
        }
        locale = Locale.getDefault();
    }
    return locale;
}","Locale","public , synchronized ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols)","Method","* Sets {@link DecimalFormatSymbols} for a given name. The DecimalFormatSymbols
     * can be referenced as the third, optional argument in the invocation of
     * {@code format-number (number,format,decimal-format-name)} function.
     * By default, JXPath uses the symbols for the current locale.
     *
     * @param name the format name or null for default format.
     * @param symbols DecimalFormatSymbols","public synchronized void setDecimalFormatSymbols(final String name, final DecimalFormatSymbols symbols) {
    if (decimalFormats == null) {
        decimalFormats = new HashMap<>();
    }
    decimalFormats.put(name, symbols);
}","void","public , synchronized ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols).name","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols).symbols","Parameter_2","Belong to org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols(String)","Method","* Gets the named DecimalFormatSymbols.
     * @param name key
     * @return DecimalFormatSymbols
     * @see #setDecimalFormatSymbols(String, DecimalFormatSymbols)","public synchronized DecimalFormatSymbols getDecimalFormatSymbols(final String name) {
    if (decimalFormats == null) {
        return parentContext == null ? null : parentContext.getDecimalFormatSymbols(name);
    }
    return decimalFormats.get(name);
}","DecimalFormatSymbols","public , synchronized ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols(String).name","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setLenient(boolean)","Method","* If the context is in the lenient mode, then getValue() returns null
     * for inexistent paths.  Otherwise, a path that does not map to
     * an existing property will throw an exception.  Note that if the
     * property exists, but its value is null, the exception is <em>not</em>
     * thrown.
     * <p>
     * By default, lenient = false
     * @param lenient flag","public synchronized void setLenient(final boolean lenient) {
    this.lenient = lenient;
    lenientSet = true;
}","void","public , synchronized ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setLenient(boolean).lenient","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setLenient(boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.isLenient()","Method","* Learn whether this JXPathContext is lenient.
     * @return boolean
     * @see #setLenient(boolean)","public synchronized boolean isLenient() {
    if (!lenientSet && parentContext != null) {
        return parentContext.isLenient();
    }
    return lenient;
}","boolean","public , synchronized ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.compile(String)","Method","* Compiles the supplied XPath and returns an internal representation
     * of the path that can then be evaluated.  Use CompiledExpressions
     * when you need to evaluate the same expression multiple times
     * and there is a convenient place to cache CompiledExpression
     * between invocations.
     * @param xpath to compile
     * @return CompiledExpression","public static CompiledExpression compile(final String xpath) {
    if (compilationContext == null) {
        compilationContext = newContext(null);
    }
    return compilationContext.compilePath(xpath);
}","CompiledExpression","public , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.compile(String).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.compile(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.compilePath(String)","Abstract Method","* Overridden by each concrete implementation of JXPathContext
     * to perform compilation. Is called by {@code compile()}.
     * @param xpath to compile
     * @return CompiledExpression","protected abstract CompiledExpression compilePath(String xpath);","CompiledExpression","protected , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.compilePath(String).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.compilePath(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.selectSingleNode(String)","Method","* Finds the first object that matches the specified XPath. It is equivalent
     * to {@code getPointer(xpath).getNode()}. Note that this method
     * produces the same result as {@code getValue()} on object models
     * like JavaBeans, but a different result for DOM/JDOM etc., because it
     * returns the Node itself, rather than its textual contents.
     *
     * @param xpath the xpath to be evaluated
     * @return the found object","public Object selectSingleNode(final String xpath) {
    final Pointer pointer = getPointer(xpath);
    return pointer == null ? null : pointer.getNode();
}","Object","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.selectSingleNode(String).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.selectSingleNode(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.selectNodes(String)","Method","* Finds all nodes that match the specified XPath.
     *
     * @param xpath the xpath to be evaluated
     * @return a list of found objects","public List selectNodes(final String xpath) {
    final ArrayList list = new ArrayList();
    final Iterator<Pointer> iterator = iteratePointers(xpath);
    while (iterator.hasNext()) {
        final Pointer pointer = iterator.next();
        list.add(pointer.getNode());
    }
    return list;
}","List","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.selectNodes(String).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.selectNodes(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getValue(String)","Abstract Method","* Evaluates the xpath and returns the resulting object. Primitive
     * types are wrapped into objects.
     * @param xpath to evaluate
     * @return Object found","public abstract Object getValue(String xpath);","Object","public , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getValue(String).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.getValue(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getValue(String,Class)","Abstract Method","* Evaluates the xpath, converts the result to the specified class and
     * returns the resulting object.
     * @param xpath to evaluate
     * @param requiredType required type
     * @return Object found","public abstract Object getValue(String xpath, Class requiredType);","Object","public , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getValue(String,Class).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.getValue(String,Class)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.getValue(String,Class).requiredType","Parameter_2","Belong to org.apache.commons.jxpath.JXPathContext.getValue(String,Class)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setValue(String,Object)","Abstract Method","* Modifies the value of the property described by the supplied xpath.
     * Will throw an exception if one of the following conditions occurs:
     * <ul>
     * <li>The xpath does not in fact describe an existing property
     * <li>The property is not writable (no public, non-static set method)
     * </ul>
     * @param xpath indicating position
     * @param value to set","public abstract void setValue(String xpath, Object value);","void","public , abstract ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.jxpath.JXPathContext.setValue(String,Object).xpath","Parameter_1","Belong to org.apache.commons.jxpath.JXPathContext.setValue(String,Object)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
